Month,Golden_Retriever,West_Highland_White_Terrier,Dalmatian,Cockapoo,Labrador_Retriever
2012-12,13,15,11,16,44
2013-01,14,15,10,18,47
2013-02,15,15,10,19,46
2013-03,16,13,10,17,48
2013-04,15,13,8,17,44
2013-05,14,13,9,18,44
2013-06,14,13,9,20,45
2013-07,15,12,8,18,43
2013-08,21,17,9,26,52
2013-09,15,15,10,25,47
2013-10,15,15,10,25,49
2013-11,16,17,11,22,47
2013-12,16,21,10,23,49
2014-01,16,16,11,22,46
2014-02,17,16,9,22,48
2014-03,16,16,8,22,48
2014-04,17,14,8,20,46
2014-05,17,13,8,22,47
2014-06,14,13,8,19,46
2014-07,15,14,8,21,45
2014-08,17,16,7,28,48
2014-09,16,13,8,25,48
2014-10,15,15,10,26,47
2014-11,16,15,11,24,49
2014-12,17,17,9,24,49
2015-01,17,16,10,29,49
2015-02,16,15,9,23,47
2015-03,17,15,10,23,48
2015-04,17,13,9,23,49
2015-05,16,13,8,26,47
2015-06,18,12,9,23,46
2015-07,17,13,9,24,47
2015-08,18,15,9,30,51
2015-09,18,14,8,28,48
2015-10,19,14,11,28,50
2015-11,18,14,10,31,49
2015-12,19,16,9,30,55
2016-01,20,15,10,30,52
2016-02,18,16,11,31,52
2016-03,22,20,10,32,52
2016-04,20,15,10,33,52
2016-05,22,15,12,34,55
2016-06,20,13,10,30,49
2016-07,20,13,10,34,55
2016-08,22,14,9,38,56
2016-09,21,15,10,36,54
2016-10,21,14,10,36,54
2016-11,21,15,10,39,52
2016-12,21,15,10,36,53
2017-01,21,15,11,35,51
2017-02,21,14,12,37,52
2017-03,20,13,10,33,49
2017-04,20,13,11,36,52
2017-05,20,12,11,34,49
2017-06,20,11,9,32,49
2017-07,23,11,11,38,52
2017-08,24,15,10,44,56
2017-09,23,14,10,40,52
2017-10,23,14,12,41,52
2017-11,22,14,10,39,52
2017-12,22,15,10,38,53
2018-01,23,14,10,43,59
2018-02,24,14,12,37,54
2018-03,23,12,11,37,53
2018-04,21,13,9,36,50
2018-05,19,11,9,31,46
2018-06,22,10,8,33,46
2018-07,26,12,9,32,48
2018-08,25,13,11,41,53
2018-09,25,12,13,41,53
2018-10,24,13,11,41,50
2018-11,24,13,9,43,53
2018-12,22,14,11,41,52
2019-01,24,13,11,44,52
2019-02,25,14,11,46,52
2019-03,29,12,12,40,52
2019-04,25,11,10,39,51
2019-05,26,11,10,38,50
2019-06,26,11,9,37,48
2019-07,24,10,10,37,47
2019-08,28,12,12,43,51
2019-09,26,12,11,40,52
2019-10,26,11,12,41,51
2019-11,25,12,9,38,50
2019-12,24,13,10,38,50
2020-01,25,12,9,39,52
2020-02,25,11,12,37,50
2020-03,27,11,11,38,48
2020-04,35,13,13,61,78
2020-05,39,15,15,78,100
2020-06,37,14,14,69,89
2020-07,35,14,14,53,83
2020-08,36,13,14,50,78
2020-09,31,13,14,49,73
2020-10,33,14,14,56,77
2020-11,34,15,15,60,81
2020-12,32,14,12,48,73
2021-01,35,15,16,69,93
2021-02,35,14,17,56,84
2021-03,32,14,14,46,73
2021-04,32,13,13,46,68
2021-05,33,11,13,43,61
2021-06,28,11,14,41,56
2021-07,30,10,13,44,58
2021-08,30,12,14,48,65
2021-09,26,11,14,43,52
2021-10,29,12,18,44,54
2021-11,25,11,11,40,53
2021-12,27,11,11,45,56
2022-01,31,11,11,48,59
2022-02,26,10,12,40,54
2022-03,28,9,18,38,48
